t,value
1684719064,183872
1684719094,185472
1684719124,188480
1684719154,190080
1684719184,193152
1684719214,194752
1684719244,197888
1684719274,199488
1684719304,202560
1684719334,204160
1684719364,207296
1684719394,208896
1684719424,211968
1684719454,213568
1684719484,216704
1684719514,218240
1684719544,221376
1684719574,222912
1684719604,226048
1684719634,227648
1684719664,230784
1684719694,232384
1684719724,235456
1684719754,237056
1684719784,240192
1684719814,241792
1684719844,244928
1684719874,246528
1684719904,249664
1684719934,251200
1684719964,254336
1684719994,255872
1684720024,259008
1684720054,260544
1684720084,263680
1684720114,265344
1684720144,268416
1684720174,269952
1684720204,273088
1684720234,274688
1684720264,277760
1684720294,279360
1684720324,282496
1684720354,284096
1684720384,287296
1684720414,288768
1684720444,11032
1684720474,12440
1684720504,15448
1684720534,17048
1684720564,20184
1684720594,21720
1684720624,24856
1684720654,26456
1684720684,29656
1684720714,31128
1684720744,34328
1684720774,35928
1684720804,39000
1684720834,40536
1684720864,43736
1684720894,45272
1684720924,48472
1684720954,50008
1684720984,53080
1684721014,54616
1684721044,57816
1684721074,59416
1684721104,62488
1684721134,64088
1684721164,67160
1684721194,68824
1684721224,71960
1684721254,73560
1684721285,76632
1684721315,78232
1684721345,81304
1684721375,82904
1684721405,86040
1684721435,87576
1684721465,90712
1684721495,92248
1684721525,95512
1684721555,97048
1684721585,100184
1684721615,101720
1684721645,104920
1684721675,106456
1684721705,109528
1684721735,111128
1684721765,114200
1684721795,115800
1684721825,118936
1684721855,120472
1684721885,123736
1684721915,125208
1684721945,128344
1684721975,129944
1684722005,133080
1684722035,134552
1684722065,137752
1684722095,139352
1684722125,142552
1684722155,144088
1684722185,147224
1684722215,148760
1684722245,151960
1684722275,153496
1684722305,156568
1684722335,158168
1684722365,161368
1684722395,162840
1684722425,166040
1684722455,167512
1684722485,170712
1684722515,172248
1684722545,175384
1684722575,176984
1684722605,180800
1684722635,181720
1684722665,184344
1684722695,186392
1684722725,189080
1684722755,191128
1684722785,193816
1684722815,195864
1684722845,198424
1684722875,200536
1684722905,203160
1684722935,205208
1684722965,207256
1684722995,209880
1684723025,211736
1684723055,214616
1684723085,216408
1684723115,219352
1684723145,221144
1684723175,224024
