t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1684701481,722,2173,24.023546,1,158.248600,3.000000,7.000000,41.000000,118.400000,522.170000,2173.000000
1684701511,722,2173,24.023546,1,158.248600,3.000000,7.000000,41.000000,118.400000,522.170000,2173.000000
1684701541,722,2173,24.023546,1,158.248600,3.000000,7.000000,41.000000,118.400000,522.170000,2173.000000
1684701571,722,2173,24.023546,1,158.248600,3.000000,7.000000,41.000000,118.400000,522.170000,2173.000000
1684701601,722,2173,24.023546,1,158.248600,3.000000,7.000000,41.000000,118.400000,522.170000,2173.000000
1684701631,722,2173,24.023546,1,158.248600,3.000000,7.000000,41.000000,118.400000,522.170000,2173.000000
1684701661,722,2173,24.023546,1,158.248600,3.000000,7.000000,41.000000,118.400000,522.170000,2173.000000
1684701691,722,2173,24.023546,1,158.248600,3.000000,7.000000,41.000000,118.400000,522.170000,2173.000000
1684701721,722,2173,24.023546,1,158.248600,3.000000,7.000000,41.000000,118.400000,522.170000,2173.000000
1684701751,722,2173,24.023546,1,158.248600,3.000000,7.000000,41.000000,118.400000,522.170000,2173.000000
1684701781,722,2173,24.023546,1,158.248600,3.000000,7.000000,41.000000,118.400000,522.170000,2173.000000
1684701870,25,2172,484.520000,5,719.911170,103.000000,754.500000,2148.300000,2172.000000,2172.000000,2172.000000
1684701900,51,2172,244.941176,3,552.479517,13.000000,103.000000,2058.200000,2168.840000,2172.000000,2172.000000
1684701930,64,2172,197.453125,3,501.263069,9.500000,58.250000,1875.000000,2148.300000,2172.000000,2172.000000
1684701960,64,2172,197.453125,3,501.263069,9.500000,58.250000,1875.000000,2148.300000,2172.000000,2172.000000
1684701990,64,2172,197.453125,3,501.263069,9.500000,58.250000,1875.000000,2148.300000,2172.000000,2172.000000
1684702020,64,2172,197.453125,3,501.263069,9.500000,58.250000,1875.000000,2148.300000,2172.000000,2172.000000
1684702050,64,2172,197.453125,3,501.263069,9.500000,58.250000,1875.000000,2148.300000,2172.000000,2172.000000
1684702080,64,2172,197.453125,3,501.263069,9.500000,58.250000,1875.000000,2148.300000,2172.000000,2172.000000
1684702110,64,2172,197.453125,3,501.263069,9.500000,58.250000,1875.000000,2148.300000,2172.000000,2172.000000
1684702140,64,2172,197.453125,3,501.263069,9.500000,58.250000,1875.000000,2148.300000,2172.000000,2172.000000
1684702170,95,2172,152.210526,3,420.525504,9.000000,56.000000,1171.000000,2099.320000,2172.000000,2172.000000
1684702200,115,2172,129.173913,3,385.352226,9.000000,46.000000,1114.200000,2074.440000,2159.360000,2172.000000
1684703010,4,2033,1024.500000,12,1114.427955,1026.500000,2010.750000,2033.000000,2033.000000,2033.000000,2033.000000
1684703040,9,2033,462.444444,4,866.099462,12.000000,1026.500000,2033.000000,2033.000000,2033.000000,2033.000000
1684703100,32,1957,322.187500,3,565.564602,20.500000,385.000000,1843.250000,1957.000000,1957.000000,1957.000000
1684703130,63,1957,170.047619,2,429.351740,12.000000,46.000000,1578.600000,1908.000000,1957.000000,1957.000000
1684703160,102,1957,113.656863,2,344.611864,7.500000,37.250000,765.000000,1773.600000,1951.750000,1957.000000
1684703190,128,1957,92.062500,1,310.325553,6.000000,30.000000,597.150000,1700.800000,1906.250000,1957.000000
1684703220,141,1957,84.496454,1,296.539846,6.000000,28.500000,392.000000,1664.400000,1883.500000,1957.000000
1684703250,167,1957,73.245509,1,273.683188,6.000000,27.000000,380.800000,1527.880000,1838.000000,1957.000000
