t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1684710030,588,1.420061,1.407235,1.030335,0.514951,events/second
1684710060,614,1.382638,1.249352,1.027641,0.530876,events/second
1684710091,666,1.404785,1.407016,1.082974,0.566024,events/second
1684710121,692,1.372733,1.258369,1.075803,0.580336,events/second
1684710151,744,1.392973,1.079074,1.054768,0.589595,events/second
1684710181,770,1.364970,1.306939,1.117788,0.626910,events/second
1684710211,822,1.383544,1.127042,1.096214,0.635768,events/second
1684710241,848,1.358677,1.325491,1.152249,0.670492,events/second
1684710271,900,1.375849,1.139210,1.127447,0.677926,events/second
1684710301,926,1.353492,1.337042,1.180719,0.711292,events/second
1684710331,978,1.369441,1.145300,1.153157,0.717384,events/second
1684710361,1004,1.349161,1.336565,1.203773,0.749432,events/second
1684710391,1056,1.364040,1.146923,1.174120,0.754285,events/second
1684710421,1082,1.345479,1.337549,1.222741,0.785124,events/second
1684710451,1134,1.359406,1.145608,1.191180,0.788794,events/second
1684710481,1160,1.342282,1.340922,1.238387,0.818526,events/second
1684710511,1212,1.355365,1.149912,1.205443,0.821120,events/second
1684710541,1238,1.339484,1.343533,1.251293,0.849791,events/second
1684710571,1290,1.351849,1.151149,1.217118,0.851354,events/second
1684710601,1316,1.337031,1.343107,1.261857,0.879035,events/second
1684710631,1368,1.348728,1.154428,1.223532,0.878549,events/second
1684710661,1394,1.334852,1.345095,1.270648,0.906409,events/second
1684710691,1446,1.345963,1.138647,1.231434,0.905020,events/second
1684710721,1472,1.332925,1.347242,1.277852,0.932019,events/second
1684710751,1524,1.343499,1.155657,1.241311,0.930904,events/second
1684710781,1550,1.331199,1.347018,1.283747,0.955977,events/second
1684710811,1602,1.341275,1.139813,1.243287,0.952963,events/second
1684710841,1628,1.329641,1.345691,1.288523,0.978384,events/second
1684710871,1680,1.339285,1.154716,1.250912,0.975743,events/second
1684710901,1706,1.328239,1.345270,1.292435,0.999345,events/second
1684710931,1758,1.337478,1.139749,1.251200,0.994915,events/second
1684710961,1784,1.326967,1.346734,1.295683,1.018961,events/second
1684710991,1836,1.335820,1.154173,1.257337,1.014984,events/second
1684711021,1862,1.325788,1.344941,1.298194,1.037300,events/second
1684711051,1914,1.334306,1.139549,1.256411,1.031626,events/second
1684711081,1940,1.324711,1.345531,1.300399,1.054468,events/second
1684711111,1992,1.332900,1.139907,1.258406,1.048231,events/second
1684711141,2018,1.323712,1.345748,1.302203,1.070528,events/second
1684711171,2070,1.331612,1.155034,1.263293,1.064867,events/second
1684711201,2096,1.322803,1.345463,1.303584,1.085547,events/second
1684711231,2148,1.330426,1.138870,1.261236,1.078279,events/second
1684711261,2174,1.321956,1.347377,1.304818,1.099598,events/second
1684711291,2226,1.329315,1.141027,1.262405,1.091881,events/second
1684711321,2252,1.321161,1.346427,1.305768,1.112742,events/second
1684711351,2304,1.328285,1.155163,1.266571,1.105702,events/second
1684711381,2330,1.320427,1.344459,1.306497,1.125032,events/second
1684711411,2382,1.327318,1.155248,1.267229,1.116482,events/second
1684711441,2408,1.319730,1.346769,1.307199,1.136548,events/second
1684711471,2460,1.326410,1.140658,1.264560,1.127620,events/second
