t,value
1684717563,39845888
1684717593,53477376
1684717623,84934656
1684717653,97517568
1684717683,127926272
1684717713,141557760
1684717743,171966464
1684717773,185597952
1684717803,217055232
1684717833,230686720
1684717863,261095424
1684717893,274726912
1684717923,304087040
1684717953,0
1684717983,31457280
1684718013,45088768
1684718043,76546048
1684718073,90177536
1684718103,120586240
1684718133,134217728
1684718163,164626432
1684718193,178257920
1684718223,208666624
1684718253,222298112
1684718283,253755392
1684718313,267386880
1684718343,297795584
1684718373,310378496
1684718403,23068672
1684718433,36700160
1684718463,68157440
1684718493,81788928
1684718524,111149056
1684718554,124780544
1684718584,155189248
1684718614,168820736
1684718644,201326592
1684718674,214958080
1684718704,245366784
1684718734,258998272
1684718764,289406976
1684718794,303038464
1684718824,15728640
1684718854,30408704
1684718884,60817408
1684718914,74448896
1684718944,104857600
1684718974,118489088
1684719004,148897792
1684719034,162529280
1684719064,192937984
1684719094,206569472
1684719124,236978176
1684719154,250609664
1684719184,281018368
1684719214,294649856
1684719244,8388608
1684719274,22020096
1684719304,53477376
1684719334,67108864
1684719364,98566144
1684719394,111149056
1684719424,141557760
1684719454,155189248
1684719484,185597952
1684719514,199229440
1684719544,229638144
1684719574,243269632
1684719604,273678336
1684719634,287309824
1684719664,317718528
1684719694,13631488
1684719724,45088768
1684719754,58720256
1684719784,89128960
1684719814,102760448
1684719844,133169152
1684719874,147849216
1684719904,178257920
1684719934,191889408
1684719964,222298112
1684719994,235929600
1684720024,266338304
1684720054,281018368
1684720084,310378496
1684720114,7340032
1684720144,37748736
1684720174,51380224
1684720204,81788928
1684720234,95420416
1684720264,125829120
1684720294,139460608
1684720324,169869312
1684720354,183500800
1684720384,214958080
1684720414,228589568
1684720444,261095424
1684720474,274726912
1684720504,305135616
1684720534,317718528
1684720564,31457280
1684720594,45088768
1684720624,75497472
1684720654,89128960
1684720684,119537664
1684720714,133169152
1684720744,164626432
1684720774,177209344
1684720804,208666624
1684720834,222298112
1684720864,252706816
1684720894,266338304
1684720924,296747008
1684720954,310378496
1684720984,23068672
1684721014,36700160
1684721044,68157440
1684721074,81788928
1684721104,113246208
1684721134,125829120
1684721164,157286400
1684721194,170917888
1684721224,200278016
1684721254,213909504
1684721285,244318208
1684721315,258998272
1684721345,288358400
1684721375,301989888
1684721405,15728640
1684721435,29360128
1684721465,59768832
1684721495,73400320
1684721525,103809024
1684721555,117440512
1684721585,148897792
1684721615,162529280
1684721645,193986560
1684721675,206569472
1684721705,236978176
1684721735,249561088
1684721765,281018368
1684721795,294649856
1684721825,8388608
1684721855,20971520
1684721885,52428800
1684721915,66060288
1684721945,96468992
1684721975,110100480
1684722005,140509184
1684722035,155189248
1684722065,185597952
1684722095,198180864
1684722125,228589568
1684722155,243269632
1684722185,273678336
1684722215,287309824
1684722245,0
1684722275,14680064
1684722305,45088768
1684722335,59768832
1684722365,89128960
1684722395,102760448
1684722425,134217728
1684722455,146800640
1684722485,178257920
1684722515,191889408
1684722545,222298112
1684722575,234881024
1684722605,264241152
1684722635,279969792
1684722665,307232768
1684722695,5242880
1684722725,34603008
1684722755,50331648
1684722785,78643200
1684722815,94371840
1684722845,123731968
1684722875,140509184
1684722905,167772160
1684722935,184549376
1684722965,206569472
1684722995,228589568
1684723025,247463936
1684723055,272629760
1684723085,290455552
1684723115,316669952
1684723145,17825792
1684723175,42991616
